title,author,description
"The Hobbit","J.R.R. Tolkien","A fantasy novel about the quest of home-loving hobbit Bilbo Baggins to win a share of the treasure guarded by Smaug the dragon."
"1984","George Orwell","A dystopian social science fiction novel and cautionary tale about the dangers of totalitarianism."
"Pride and Prejudice","Jane Austen","A romantic novel that charts the emotional development of the protagonist Elizabeth Bennet."
"The Catcher in the Rye","J.D. Salinger","A story about adolescent Holden Caulfield's disillusionment with the adult world."
"To Kill a Mockingbird","Harper Lee","A novel about the serious issues of rape and racial inequality."
"Moby-Dick","Herman Melville","A sailor's narrative of the obsessive quest of Ahab for revenge on Moby Dick, the white whale."
"The Great Gatsby","F. Scott Fitzgerald","A novel about the American dream and the roaring twenties."
"War and Peace","Leo Tolstoy","A historical novel that chronicles the history of the French invasion of Russia."
"Crime and Punishment","Fyodor Dostoevsky","A psychological novel exploring the mental anguish of the protagonist who plans a murder."
"The Alchemist","Paulo Coelho","A novel about a young shepherd's journey to fulfill his personal legend."
